step	accuracy
0	0.5752500295639038
1	0.5978749990463257
2	0.6257500052452087
3	0.6499999761581421
4	0.6746249794960022
5	0.6744999885559082
6	0.6934999823570251
7	0.6913750171661377
8	0.706125020980835
9	0.7076249718666077
