step	loss
0	0.6768209934234619
1	0.664097011089325
2	0.6496447324752808
3	0.6201658844947815
4	0.5990763306617737
5	0.597602128982544
6	0.5752077698707581
7	0.5813019275665283
8	0.5721567869186401
9	0.5620186924934387
